,Age,area,bbox_area,convex_area,eccentricity,equivalent_diameter,euler_number,extent,filled_area,major_axis_length,max_intensity,mean_intensity,min_intensity,minor_axis_length,orientation,perimeter,solidity,contrast,energy,homogeneity,correlation,dissimilarity,Region Count
938,24,711.8653846153846,1133.2916666666667,802.2435897435897,0.6913180147085362,28.55565502924676,0.9903846153846154,0.6536441314009799,712.7275641025641,37.35615818553866,0.8236072931875208,0.5857360805359058,0.364181140702902,24.113723628619343,0.273538672514823,111.36325576313433,0.9087254624781524,117.93961073629326,0.025559452623637107,0.0729504800944915,0.9746431392977133,6.4485467030943715,312.0
939,24,686.6121883656509,1077.545706371191,764.3684210526316,0.6560496478500584,28.31090071439666,0.997229916897507,0.662157200025182,686.7645429362881,35.89877440385361,0.8039312831808741,0.5767347009549835,0.37000934208678893,24.338498689547198,0.1982218023482143,107.58798134093884,0.9163168897512486,104.7480674576714,0.026234863896349003,0.07608452335093298,0.9753536053419128,6.169115988345271,361.0
940,24,755.6387096774193,1155.8612903225805,837.7548387096774,0.6623853263713482,29.367872360041268,0.9709677419354839,0.6656211015749944,757.9354838709677,37.43852224150494,0.7852074190287399,0.5489075642998245,0.3394566622416226,25.199983357006786,0.16254172347233647,112.42356553169628,0.9145206451978476,107.75242139925997,0.025902982127497802,0.07641781402224271,0.9736107430795395,6.25645719086801,310.0
941,24,820.9183006535948,1287.5,917.3921568627451,0.6716276416334592,30.39255073223761,0.9379084967320261,0.6541743101699654,826.0294117647059,39.08294426971666,0.803764488021937,0.570832594776173,0.3594707435959048,26.075939006016366,0.11887635254289183,119.88852051019245,0.9075696925660618,105.8534457070946,0.02526975512651971,0.07511684708121161,0.9761144703288741,6.157125801880298,306.0
942,24,827.3377483443709,1292.9072847682119,932.2317880794702,0.6500768989203021,30.521639907782404,0.8642384105960265,0.655880424268304,839.5099337748344,39.007837827189675,0.7889821818610881,0.5684316737115465,0.3725569587699755,26.797223566468126,0.11512623830241787,124.31076795258844,0.9050676760527551,94.62251887470543,0.025822491388911174,0.08059541663402543,0.9777325202536138,5.794515134694152,302.0
943,24,712.5765765765766,1100.7657657657658,790.9234234234234,0.6439481435719506,28.78419595220635,0.9684684684684685,0.6596365348847945,714.5990990990991,36.434817806559096,0.8017101318116826,0.5908124757875737,0.4160308766228583,24.865289814125237,-0.0063047948480532455,110.42626027425082,0.9121749585525524,75.66022492398824,0.02687211464784066,0.08614287345219306,0.9815796147769136,5.241911005224075,222.0
944,24,717.5519480519481,1110.2207792207791,799.0909090909091,0.6390814412079397,28.77476319438478,0.9935064935064936,0.6714848593341028,717.9707792207793,35.98526174292386,0.8018045097114699,0.6002488932368595,0.40952829349302194,24.979286532657,0.021767748158421998,108.90128070531964,0.9177111562631967,79.52219588855331,0.027512550692486884,0.08862058832432242,0.9807454542193271,5.390735558770282,308.0
945,24,734.2098360655738,1155.7967213114755,819.4819672131148,0.6564718510413013,29.171498018009242,0.9967213114754099,0.6622189119375367,734.3770491803278,37.03135315467361,0.8146967229777393,0.5945566580896339,0.3856203259321957,24.970113256526176,0.02568601689831136,110.93077677764387,0.9151825105146764,96.51034331187302,0.025909563532631342,0.0794954826671501,0.9780955759385819,5.918065481289874,305.0
946,24,736.2261904761905,1192.5089285714287,825.7113095238095,0.6840935809413148,29.269687131333804,0.9940476190476191,0.65989678988512,736.5595238095239,38.17770878130226,0.8123445385476425,0.587549561658866,0.3751016363615729,24.63135714931562,0.2681251129916921,112.04304506177819,0.9183314002931217,99.9750104879224,0.02555542537622538,0.07912883976300808,0.977224699205682,5.964422971698728,336.0
947,24,699.8446215139443,1076.2390438247012,766.3784860557769,0.6521307791968504,28.46410117750515,0.9840637450199203,0.6704455163154219,700.9163346613545,35.876432974815046,0.7662996908363174,0.531171444313472,0.32780171184243595,24.3333378280163,-0.1124083379340584,105.67951404776419,0.9247640508218344,103.41784239542515,0.026655071356795727,0.07872699429742333,0.9725021700561953,6.178429728671281,251.0
948,24,788.6342182890855,1242.6283185840707,885.2448377581121,0.716819008971744,30.087090307153986,0.9882005899705014,0.672039078704839,789.5398230088496,39.816912863254565,0.8308000354734882,0.6355167709893023,0.4449942690846385,24.91677142522413,0.1330593804022271,116.26051903982261,0.9197041019471461,77.98221788098623,0.02723269429425877,0.09185905224335067,0.9820795990561302,5.315630781911661,339.0
949,24,842.5829596412556,1299.0493273542602,934.3004484304932,0.6491074939419996,30.791108916062047,0.9596412556053812,0.6652343454043758,845.5515695067264,38.489299533246175,0.7898776738450789,0.5585078847504701,0.36356052161190616,26.830277607310446,-0.10812834590031023,119.82719111022338,0.9121370027582704,85.03639486775049,0.02553162241771199,0.0810977538274195,0.9776453686180563,5.622459664770319,223.0
950,24,743.5548589341693,1147.7711598746082,814.6144200626959,0.6773331645352291,29.35104076751143,0.9968652037617555,0.6695344445852399,743.8213166144201,37.82482693917651,0.7946063485124626,0.6049423240745635,0.4194598400392875,24.7591788164188,0.1388514004258726,110.19639015854656,0.9247755085420316,75.30351758604776,0.027898400033574404,0.09412867234846611,0.982161883330507,5.170850648923695,319.0
951,24,799.0820668693009,1243.613981762918,891.4164133738602,0.6675735696677719,30.36010525053541,0.9483282674772037,0.6607846229185144,803.161094224924,39.19882550358452,0.7995578541323695,0.5538258175316739,0.3402990367639346,25.94448939366796,0.20765829885237294,119.68704546922669,0.912398936358872,109.1575157815205,0.024752904642957787,0.07572764644087755,0.9743874009816531,6.256212192023534,329.0
952,24,814.5539568345324,1330.9208633093526,936.8705035971223,0.6839537792462316,30.161237047040192,0.8093525179856115,0.6509500189501457,832.3597122302158,40.05977047742814,0.8172090659430995,0.5742595432438166,0.36772537953448037,25.920860785385916,0.03338778411834988,127.11798124063154,0.8996917995198228,107.01254235356663,0.02493194859992795,0.07180737246011237,0.9761496429231891,6.2293666909071455,278.0
953,24,884.9734848484849,1408.9280303030303,996.6325757575758,0.68286739181344,31.259264247584312,0.8787878787878788,0.6603956653611158,897.4621212121212,40.92798858477807,0.8198710539941706,0.576566846282289,0.35568845278107347,26.71600510903177,-0.026809746717025233,126.0433067637537,0.914620005920135,111.73981931133488,0.024730531342008335,0.07335413680183715,0.9747810057275749,6.390996449705636,264.0
