,Image Reference,Age,Number of nucleii,Number of overlapping nucleii,Average Area,Avg Compactness,Circular blobs,Non-circular blobs,Texture Feature - Avg Energy,Texture feature - Avg Homogenity,Texture feature - Avg Correlation
887,AMC-132--010-macurato_FCM_MASK.png,6,2643,146,39.323688185849846,0.07957747154594626,1566,0,0.48866243406502285,0.5132071768244957,0.1959225411874812
888,AMC-132--011-macurato_FCM_MASK.png,6,2792,271,43.096218757944946,0.07957747154594624,1721,0,0.48931191816939656,0.5136843429492028,0.1948241568688436
889,AMC-132--012-macurato_FCM_MASK.png,6,960,27,46.70315803845101,0.07957747154594698,594,0,0.49018315407001745,0.5144759396421045,0.1951521173141049
890,AMC-132--013-macurato_FCM_MASK.png,6,2675,213,40.814929406697765,0.07957747154594626,1682,0,0.490348069905499,0.5145681050981866,0.1940390774281993
891,AMC-132--014-macurato_FCM_MASK.png,6,2535,150,38.13188958914113,0.07957747154594629,1526,0,0.48994231446398595,0.5140966749313529,0.19308238996675825
892,AMC-132--015-macurato_FCM_MASK.png,6,1830,140,48.857994422709034,0.07957747154594645,1058,0,0.4908108839352607,0.5148357130493463,0.1932722385539116
893,AMC-132--016-macurato_FCM_MASK.png,6,2774,186,38.967901584098314,0.07957747154594624,1683,0,0.49022899267287884,0.5142059868304026,0.19223237777506733
894,AMC-132--017-macurato_FCM_MASK.png,6,2141,103,40.29463729900118,0.07957747154594635,1312,0,0.49038357456015236,0.5142766440570283,0.19165135419977017
895,AMC-132--018-macurato_FCM_MASK.png,6,2336,125,36.952731814300876,0.07957747154594631,1409,0,0.49023885784466736,0.5140947445945563,0.19091778384634578
896,AMC-132--019-macurato_FCM_MASK.png,6,1641,143,56.39400243938577,0.07957747154594651,963,0,0.49103708687644776,0.5148080140190859,0.19120616626897732
897,AMC-132--020-macurato_FCM_MASK.png,6,2210,88,36.16314944717721,0.07957747154594634,1294,0,0.4907697634393535,0.514451721324285,0.19008369544242554
898,AMC-132--021-macurato_FCM_MASK.png,6,900,43,54.61442548845918,0.07957747154594705,533,0,0.4912612080242584,0.5148796695174168,0.19051886902590146
899,AMC-132--022-macurato_FCM_MASK.png,6,1685,64,40.56176994654661,0.0795774715459465,986,0,0.4914536035566157,0.5150249299697301,0.19037543485658567
900,AMC-132--023-macurato_FCM_MASK.png,6,2039,114,42.135240926,0.07957747154594638,1237,0,0.4917374032408969,0.5152716067385382,0.18995106678082196
901,AMC-132--024-macurato_FCM_MASK.png,6,2238,160,44.0758166435594,0.07957747154594634,1351,0,0.4919449463293689,0.515463834401031,0.18950608508960723
902,AMC-132--025-macurato_FCM_MASK.png,6,1726,69,43.06082547783787,0.07957747154594648,1017,0,0.4921742767702878,0.5156267229598445,0.18904525267356426
903,AMC-132--026-macurato_FCM_MASK.png,6,1474,40,31.578947673169875,0.07957747154594659,1003,0,0.4923923978355388,0.5157700953650974,0.1888105228013026
904,AMC-132--027-macurato_FCM_MASK.png,6,2115,107,40.862200363543366,0.07957747154594637,1267,0,0.4922312540265324,0.5155349505276131,0.187963755013855
905,AMC-132--028-macurato_FCM_MASK.png,6,1589,86,49.66913752216347,0.07957747154594653,913,0,0.49239960296299234,0.5156410473124456,0.1877243160174264
906,AMC-132--029-macurato_FCM_MASK.png,6,1995,153,47.69748831282692,0.0795774715459464,1197,0,0.49295256999257736,0.5161296950585851,0.18770977549421114
907,AMC-132--030-macurato_FCM_MASK.png,6,2600,152,35.24586276676292,0.07957747154594627,1690,0,0.49276609852079145,0.515898682986064,0.18684734722908908
908,AMC-132--031-macurato_FCM_MASK.png,6,860,27,52.08555072528243,0.0795774715459471,505,0,0.4932213220262835,0.5163121084964833,0.18708698918632546
909,AMC-132--032-macurato_FCM_MASK.png,6,2498,112,36.77258204109338,0.07957747154594629,1561,0,0.4930789527441804,0.5161177949213346,0.18640500075805508
910,AMC-132--033-macurato_FCM_MASK.png,6,1432,43,32.70335353126743,0.0795774715459466,909,0,0.4933379894959041,0.5163200752562024,0.1859659969084576
911,AMC-132--034-macurato_FCM_MASK.png,6,1052,33,34.35338621845562,0.07957747154594688,680,0,0.4936815437670185,0.5166108940806164,0.1858218218337789
912,AMC-132--035-macurato_FCM_MASK.png,6,1195,34,40.512609875010845,0.07957747154594676,727,0,0.4940618373555132,0.5169176293269074,0.18572998344513145
